BITS ID,Age,Gender,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness
2020A3PS0519G,21,Male,85,54,71,91,77
2020A3PS1764G,20,Male,66,77,78,67,74
2020A3PS1832G,21,Male,103,54,85,86,81
2020A7PS0001G,21,Male,43,91,89,104,106
2020A7PS0106G,21,Male,52,90,81,88,77
2020A7PS0131G,21,Male,79,88,87,81,78
2020A7PS0146G,21,Female,69,67,89,82,67
2020A7PS0152G,21,Male,56,85,64,79,92
2020A7PS0962G,21,Male,35,85,92,92,118
2020A7PS0965G,21,Male,50,86,91,96,88
2020A7PS0971G,22,Male,64,73,83,75,99
2020A7PS1228G,22,Male,95,74,93,83,71
2020A7PS1370G,20,Male,90,69,85,64,66
2020A7PS1373G,21,Male,68,49,92,90,73
2020A7PS1392G,21,Male,49,77,73,84,101
2020A7PS1430G,22,Male,86,91,89,104,102
2020A7PS1686G,22,Male,76,62,85,86,100
2020A7PS1691G,21,Male,68,62,70,68,83
2020A7PS1699G,20,Male,69,72,86,77,79
2020A7PS1701G,21,Male,67,79,106,84,71
2020A7PS1703G,21,Male,69,73,72,88,88
2020A7PS1710G,21,Male,83,70,76,62,55
2020A7PS1711G,21,Male,78,63,78,106,71
2020A7PS1715G,20,Male,81,74,61,68,80
2020A7PS1716G,21,Male,67,58,85,92,97
2020A7PS1717G,21,Male,80,101,92,86,92
2020A7PS1718G,21,Male,77,61,78,83,91
2020A7PS1725G,21,Male,101,69,76,86,86
2020A7PS1727G,20,Male,64,63,62,69,89
2020A7PS1728G,21,Male,72,77,89,80,80
2020A7PS1733G,22,Male,80,67,83,114,95
2020A7PS1736G,20,Male,79,68,82,72,75
2020AAPS1036G,21,Female,92,60,94,98,83
2020B1A42122G,21,Male,66,72,85,70,77
2020B1A71960G,21,Male,62,93,84,100,110
2020B1A71982G,21,Female,78,92,72,80,74
2020B1A72102G,21,Male,85,85,79,82,72
2020B3A70568G,21,Female,67,73,82,105,114
2020B3A70659G,20,Male,78,64,100,99,87
2020B3A71085G,21,Male,60,75,66,87,92
2020B3A71102G,22,Male,82,89,97,69,79
2020B3A71141G,21,Male,80,62,79,92,72
2020B3A71142G,21,Male,39,84,89,95,106
2020B3A71159G,21,Male,65,75,72,100,105
2020B3A71260G,21,Male,88,87,80,86,84
2020B3A71262G,21,Male,79,77,87,90,90
2020B3A71462G,21,Female,90,53,91,89,63
2020B3A71464G,21,Male,71,95,90,105,81
2020B3A71470G,22,Male,99,86,81,79,68
2020B3A71515G,20,Male,28,94,77,58,113
2020B3A71784G,21,Male,64,93,94,95,83
2020B3A71794G,21,Female,83,90,71,91,100
2020B3A71857G,22,Male,71,75,81,81,91
2020B4A71203G,21,Male,73,83,88,77,73
2020B4A71263G,21,Male,56,79,72,87,88
2020B4PS1179G,21,Male,76,78,86,93,77
2020B5A71157G,21,Male,61,75,78,90,105
2020B5A71839G,20,Male,63,69,85,85,93
2020B5A71896G,20,Male,66,90,84,80,71
2021A4PS2826G,20,Male,52,89,69,71,103
2021A4PS2886G,21,Male,64,80,82,99,101
2021A7PS2836G,20,Male,60,91,71,73,74
2021A7PS0001G,19,Male,55,78,77,101,99
2021A7PS0004G,20,Male,48,83,75,86,71
2021A7PS0007G,20,Male,72,67,73,74,91
2021A7PS0011G,20,Male,75,63,64,98,101
2021A7PS0012G,20,Male,88,68,83,74,38
2021A7PS0533G,20,Male,78,74,75,93,72
2021A7PS1294G,20,Male,73,90,84,108,90
2021A7PS1465G,20,Female,88,50,86,87,92
2021A7PS1758G,20,Male,55,95,89,68,77
2021A7PS2048G,21,Male,86,62,52,99,78
2021A7PS2054G,20,Male,77,72,89,95,90
2021A7PS2062G,21,Male,87,62,79,75,85
2021A7PS2093G,20,Male,81,78,64,70,75
2021A7PS2471G,19,Male,97,39,88,75,65
2021A7PS2525G,19,Male,70,78,82,88,88
2021A7PS2553G,21,Female,104,87,93,99,90
2021A7PS2595G,20,Male,59,68,90,93,90
2021A7PS2596G,20,Male,74,80,78,84,92
2021A7PS2602G,20,Male,67,77,90,104,82
2021A7PS2607G,20,Male,60,94,86,76,73
2021A7PS2619G,20,Male,71,90,93,77,68
2021A7PS2628G,20,Male,56,81,69,105,103
2021A7PS2630G,20,Male,63,69,67,95,88
2021A7PS2632G,20,Male,72,82,76,72,70
2021A7PS2664G,20,Male,55,69,112,101,85
2021A7PS2720G,20,Male,79,71,76,86,84
2021A7PS2728G,20,Male,40,81,82,94,101
2021A7PS2738G,21,Male,66,91,110,83,83
2021A7PS2740G,20,Male,38,92,86,98,111
2021A7PS2841G,20,Male,79,71,72,89,92
2021A7PS3041G,19,Male,73,83,77,87,84
2021A7PS3055G,19,Male,90,86,83,70,84
2021A8PS2914G,20,Male,44,92,76,110,100
2021AAPS1159G,20,Male,70,92,97,102,96
2021AAPS1291G,20,Male,83,78,90,88,95
2021AAPS2499G,20,Male,84,97,77,100,100
2021AAPS2556G,20,Male,54,64,80,77,94
2021B4A72431G,21,Male,63,96,97,74,78
2021B5PS1177G,20,Female,79,81,96,87,90
2022H1030050G,24,Male,77,78,86,83,69
2023H1030034G,23,Male,46,93,92,97,97
2023H1030060G,23,Male,59,94,90,88,98
2023I101002G,23,Male,57,56,72,83,90
