roll1,percentage1,roll2,percentage2,linesMatched
2020A3PS1764G,7,2021A7PS2630G,8,13
2020A3PS1764G,8,2020A7PS0152G,4,17
2020A3PS1764G,9,2020B3A71462G,9,9
2020A7PS0001G,11,2021A7PS2628G,17,83
2020A7PS0001G,4,2021A4PS2886G,6,36
2020A7PS0001G,4,2021A7PS0004G,7,36
2020A7PS0001G,4,2021A7PS2596G,4,35
2020A7PS0001G,4,2021B4A72431G,8,36
2020A7PS0001G,5,2020B3A70568G,8,34
2020A7PS0001G,9,2020B3A71515G,18,64
2020A7PS0131G,10,2020A7PS0152G,3,40
2020A7PS0146G,10,2020A7PS0965G,6,27
2020A7PS0152G,2,2020B5A71896G,6,15
2020A7PS0152G,3,2020A7PS1728G,5,19
2020A7PS0152G,3,2020B3A71085G,7,26
2020A7PS0152G,3,2020B3A71794G,8,16
2020A7PS0152G,3,2021A7PS2607G,8,11
2020A7PS0152G,3,2021A7PS2632G,3,6
2020A7PS0152G,5,2020B1A71982G,7,24
2020A7PS0962G,11,2020A7PS1703G,7,24
2020A7PS0962G,11,2021A7PS2553G,15,36
2020A7PS0962G,13,2021A7PS2728G,8,11
2020A7PS0962G,14,2020B1A71982G,4,32
2020A7PS0962G,16,2021A4PS2826G,17,53
2020A7PS0962G,20,2021A7PS2602G,12,39
2020A7PS0965G,10,2020B3A71515G,10,30
2020A7PS0965G,11,2021A7PS1758G,9,36
2020A7PS0965G,11,2021A7PS2740G,10,45
2020A7PS0965G,12,2020A7PS1703G,13,39
2020A7PS0965G,13,2021A7PS1294G,11,65
2020A7PS0965G,6,2020B4A71203G,4,22
2020A7PS0965G,7,2020B4A71263G,6,42
2020A7PS0965G,8,2020A7PS1370G,9,29
2020A7PS0965G,8,2020B5A71157G,13,51
2020A7PS0965G,8,2021A7PS2595G,11,36
2020A7PS0965G,9,2020B3A71262G,18,34
2020A7PS0971G,11,2020A7PS1736G,8,56
2020A7PS0971G,5,2021A7PS0533G,8,26
2020A7PS0971G,6,2023I101002G,5,36
2020A7PS0971G,7,2021A7PS2841G,7,28
2020A7PS1370G,10,2020B3A71784G,14,28
2020A7PS1370G,13,2021A7PS2740G,10,41
2020A7PS1370G,7,2020A7PS1711G,5,22
2020A7PS1370G,7,2021A7PS2048G,3,22
2020A7PS1370G,7,2021A7PS2720G,5,19
2020A7PS1370G,8,2020B3A71260G,6,35
2020A7PS1370G,8,2020B4A71203G,5,30
2020A7PS1370G,8,2021A7PS1758G,6,24
2020A7PS1370G,9,2020B3A71262G,17,32
2020A7PS1370G,9,2020B4A71263G,8,30
2020A7PS1370G,9,2020B5A71157G,13,42
2020A7PS1373G,6,2020B5A71896G,5,20
2020A7PS1373G,6,2021A7PS2664G,5,29
2020A7PS1373G,7,2021A4PS2886G,6,32
2020A7PS1373G,8,2021A7PS0007G,9,35
2020A7PS1392G,11,2020A7PS1736G,5,34
2020A7PS1392G,16,2021A7PS2596G,7,45
2020A7PS1430G,4,2020B3A71784G,10,28
2020A7PS1686G,12,2020B4PS1179G,18,41
2020A7PS1686G,13,2020B3A71159G,9,47
2020A7PS1691G,12,2021A7PS2841G,6,25
2020A7PS1691G,14,2021A7PS0533G,11,31
2020A7PS1691G,14,2021A7PS2602G,9,27
2020A7PS1691G,14,2021A7PS2728G,9,27
2020A7PS1699G,10,2020B5A71896G,10,12
2020A7PS1699G,12,2022H1030050G,9,30
2020A7PS1699G,12,2023H1030034G,13,37
2020A7PS1699G,12,2023H1030060G,9,30
2020A7PS1699G,25,2020B1A71982G,15,77
2020A7PS1699G,6,2020A7PS1711G,4,12
2020A7PS1699G,6,2020A7PS1715G,7,28
2020A7PS1699G,8,2020A7PS1703G,9,34
2020A7PS1699G,9,2021A7PS2054G,8,18
2020A7PS1703G,7,2021A7PS2595G,9,23
2020A7PS1703G,9,2020B1A71982G,4,37
2020A7PS1711G,4,2021A7PS2054G,5,14
2020A7PS1711G,4,2021A7PS2602G,6,21
2020A7PS1711G,4,2021A7PS2728G,6,21
2020A7PS1711G,5,2020B3A71462G,5,16
2020A7PS1711G,6,2020B1A71982G,4,13
2020A7PS1711G,6,2021A7PS2740G,7,23
2020A7PS1711G,7,2022H1030050G,7,20
2020A7PS1711G,7,2023H1030034G,10,28
2020A7PS1711G,7,2023H1030060G,7,20
2020A7PS1715G,10,2021AAPS2499G,8,22
2020A7PS1715G,7,2021A7PS2602G,7,18
2020A7PS1715G,7,2021A7PS2728G,7,18
2020A7PS1715G,8,2020A7PS1736G,4,16
2020A7PS1715G,9,2021A7PS0533G,11,23
2020A7PS1715G,9,2021B5PS1177G,9,33
2020A7PS1718G,5,2021A7PS1294G,5,18
2020A7PS1725G,58,2021A7PS3041G,50,253
2020A7PS1725G,62,2021A7PS2836G,51,248
2020A7PS1725G,66,2021A7PS2093G,47,260
2020A7PS1725G,8,2021A7PS2471G,10,46
2020A7PS1728G,3,2020B3A71260G,5,32
2020A7PS1733G,10,2021A8PS2914G,12,17
2020A7PS1733G,15,2021A7PS2630G,14,40
2020A7PS1733G,6,2021A7PS0004G,7,36
2020A7PS1733G,6,2021B4A72431G,7,36
2020A7PS1733G,8,2021A4PS2886G,7,43
2020A7PS1736G,12,2020B1A72102G,14,54
2020A7PS1736G,4,2020B3A70568G,6,34
2020A7PS1736G,4,2020B3A71085G,7,20
2020A7PS1736G,4,2020B3A71102G,5,20
2020A7PS1736G,4,2020B3A71794G,7,21
2020A7PS1736G,4,2021A7PS2596G,4,29
2020A7PS1736G,5,2021A7PS2841G,7,22
2020A7PS1736G,6,2021A7PS0533G,12,33
2020B1A71960G,10,2022H1030050G,5,18
2020B1A71960G,10,2023H1030034G,8,20
2020B1A71960G,10,2023H1030060G,5,18
2020B1A71960G,14,2020B1A71982G,5,52
2020B1A71982G,4,2020B3A71260G,7,37
2020B1A71982G,4,2021A7PS0533G,9,39
2020B1A71982G,4,2021A7PS2602G,7,17
2020B1A71982G,5,2021A7PS1758G,8,42
2020B1A71982G,5,2021A7PS2054G,8,18
2020B1A71982G,7,2020B5A71896G,12,23
2020B1A71982G,7,2021A7PS2595G,17,53
2020B1A71982G,7,2022H1030050G,9,24
2020B1A71982G,7,2023H1030060G,9,24
2020B1A71982G,8,2020B4A71203G,10,47
2020B1A71982G,8,2023H1030034G,15,48
2020B1A72102G,17,2020B3A71085G,21,43
2020B1A72102G,17,2020B3A71102G,17,43
2020B1A72102G,21,2020B3A71794G,27,97
2020B1A72102G,4,2021A7PS2595G,9,26
2020B1A72102G,5,2021A4PS2886G,6,19
2020B1A72102G,5,2021A7PS3055G,5,17
2020B1A72102G,7,2021A7PS0004G,9,26
2020B1A72102G,7,2021B4A72431G,9,26
2020B1A72102G,8,2021A7PS2607G,12,26
2020B3A70568G,6,2021A7PS2595G,9,20
2020B3A70568G,7,2020B3A71159G,8,33
2020B3A70568G,7,2021A7PS0004G,7,28
2020B3A71085G,11,2021A4PS2886G,10,55
2020B3A71085G,13,2021A7PS0004G,14,57
2020B3A71085G,13,2021A7PS2607G,16,47
2020B3A71085G,49,2020B3A71102G,41,164
2020B3A71085G,8,2020B3A71794G,9,27
2020B3A71085G,8,2021B4A72431G,9,27
2020B3A71102G,11,2021A7PS2607G,16,47
2020B3A71102G,23,2020B3A71141G,31,158
2020B3A71102G,5,2020B3A71794G,6,16
2020B3A71102G,5,2021A4PS2886G,5,21
2020B3A71102G,5,2021B4A72431G,7,19
2020B3A71102G,7,2021A7PS0004G,10,34
2020B3A71142G,6,2020B4A71203G,7,19
2020B3A71142G,6,2021A7PS1294G,8,18
2020B3A71142G,8,2020B4PS1179G,30,51
2020B3A71260G,17,2020B3A71784G,32,104
2020B3A71260G,5,2020B4A71203G,5,31
2020B3A71260G,7,2021A7PS2048G,5,38
2020B3A71260G,8,2021A7PS2740G,9,46
2020B3A71260G,8,2021AAPS1159G,8,39
2020B3A71260G,9,2021A7PS1294G,9,56
2020B3A71262G,48,2021A7PS1758G,20,92
2020B3A71462G,5,2022H1030050G,4,16
2020B3A71462G,5,2023H1030034G,7,20
2020B3A71462G,5,2023H1030060G,5,16
2020B3A71462G,8,2021A7PS2054G,9,19
2020B3A71464G,9,2020B3A71470G,18,70
2020B3A71515G,22,2021A7PS2628G,17,65
2020B3A71515G,7,2021A7PS1294G,5,27
2020B3A71784G,13,2021A7PS2048G,4,32
2020B3A71784G,14,2021A7PS2720G,7,21
2020B3A71784G,14,2021A7PS2740G,8,29
2020B3A71784G,16,2021AAPS1159G,9,40
2020B4A71203G,22,2020B4A71263G,30,103
2020B4A71203G,4,2020B5A71896G,6,59
2020B4A71203G,4,2022H1030050G,4,16
2020B4A71203G,5,2020B5A71157G,11,137
2020B4A71203G,5,2021A7PS1758G,6,28
2020B4A71203G,5,2021A7PS2740G,6,21
2020B4A71263G,18,2020B5A71157G,30,174
2020B5A71157G,16,2021A7PS2740G,9,39
2020B5A71896G,6,2022H1030050G,5,13
2020B5A71896G,6,2023H1030034G,7,21
2020B5A71896G,6,2023H1030060G,5,13
2020B5A71896G,8,2021A4PS2826G,16,32
2020B5A71896G,8,2021A7PS2054G,8,18
2021A4PS2826G,11,2021A7PS2553G,15,34
2021A4PS2886G,10,2021A7PS2664G,9,47
2021A4PS2886G,42,2021B4A72431G,52,132
2021A4PS2886G,5,2021A7PS3055G,5,32
2021A4PS2886G,6,2021A7PS2607G,8,34
2021A4PS2886G,60,2021A7PS0004G,71,248
2021A7PS0001G,13,2021A7PS2607G,15,33
2021A7PS0004G,13,2021A7PS2664G,10,61
2021A7PS0004G,56,2021B4A72431G,58,156
2021A7PS0004G,6,2021A7PS3055G,5,35
2021A7PS0004G,8,2021A7PS2607G,8,37
2021A7PS0007G,16,2021A7PS0012G,17,51
2021A7PS0007G,16,2021A7PS2525G,17,52
2021A7PS0007G,8,2021A7PS2595G,11,19
2021A7PS0011G,10,2021A7PS2630G,11,29
2021A7PS0011G,14,2021A7PS0012G,18,47
2021A7PS0011G,14,2021A7PS2525G,18,48
2021A7PS0011G,9,2021A8PS2914G,11,28
2021A7PS0012G,12,2021A7PS2630G,10,29
2021A7PS0012G,12,2021A8PS2914G,12,28
2021A7PS0012G,15,2021A7PS3055G,10,26
2021A7PS0012G,85,2021A7PS2525G,85,258
2021A7PS0533G,39,2021A7PS2602G,33,96
2021A7PS0533G,48,2021A7PS2728G,42,126
2021A7PS0533G,8,2023I101002G,4,25
2021A7PS1294G,10,2021A7PS2740G,11,36
2021A7PS1294G,5,2021AAPS2499G,5,16
2021A7PS1758G,6,2021A7PS2740G,6,31
2021A7PS2048G,4,2021A7PS2740G,7,26
2021A7PS2048G,5,2021A7PS2720G,7,35
2021A7PS2048G,7,2021AAPS1159G,11,44
2021A7PS2054G,15,2021AAPS2499G,14,26
2021A7PS2054G,5,2023H1030034G,6,19
2021A7PS2054G,7,2023H1030060G,5,20
2021A7PS2062G,4,2021A7PS2596G,4,37
2021A7PS2093G,16,2021A7PS2471G,29,94
2021A7PS2093G,55,2021A7PS3041G,67,345
2021A7PS2093G,62,2021A7PS2836G,73,337
2021A7PS2471G,30,2021A7PS2836G,20,85
2021A7PS2471G,8,2021A7PS2664G,5,15
2021A7PS2471G,8,2021A7PS3041G,5,29
2021A7PS2525G,12,2021A7PS2630G,10,29
2021A7PS2525G,12,2021A8PS2914G,12,28
2021A7PS2525G,15,2021A7PS3055G,10,26
2021A7PS2595G,11,2021B5PS1177G,7,29
2021A7PS2602G,65,2021A7PS2728G,66,165
2021A7PS2602G,7,2021A7PS2841G,6,15
2021A7PS2602G,9,2023H1030034G,9,38
2021A7PS2607G,6,2022H1030050G,4,27
2021A7PS2607G,6,2023H1030060G,4,27
2021A7PS2607G,7,2021B4A72431G,7,31
2021A7PS2607G,8,2023H1030034G,8,31
2021A7PS2630G,44,2021A8PS2914G,54,142
2021A7PS2632G,2,2021A7PS2841G,5,33
2021A7PS2664G,5,2021AAPS1159G,5,21
2021A7PS2664G,6,2021A7PS2738G,6,20
2021A7PS2664G,8,2021B4A72431G,11,45
2021A7PS2720G,7,2021A7PS2740G,8,26
2021A7PS2728G,8,2021A7PS2841G,6,15
2021A7PS2728G,8,2022H1030050G,5,15
2021A7PS2728G,8,2023H1030034G,7,25
2021A7PS2738G,5,2021A7PS3041G,5,25
2021A7PS2836G,54,2021A7PS3041G,56,255
2021AAPS1159G,13,2021AAPS1291G,15,58
2021AAPS1291G,6,2021AAPS2556G,5,28
2022H1030050G,53,2023H1030034G,79,237
2022H1030050G,79,2023H1030060G,82,307
2023H1030034G,77,2023H1030060G,54,230
